City,City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temperature,Wind Speed
152,port alfred,ZA,-33.5906,26.891,1623262959,17,72,291.15,2.4
153,thinadhoo,MV,0.5333,72.9333,1623262960,14,71,302.03,5.28
154,tuatapere,NZ,-46.1333,167.6833,1623262960,100,87,283.05,1.7
155,scottsbluff,US,41.8666,-103.6672,1623262961,1,31,304.28,1.79
156,hoquiam,US,46.9809,-123.8893,1623262962,90,68,290.89,4.12
157,santa vitoria do palmar,BR,-33.5189,-53.3681,1623262963,99,89,289.7,5.47
158,komsomolskiy,UZ,40.4272,71.7189,1623262964,75,68,295.83,3.09
159,rincon,US,32.296,-81.2354,1623262934,75,55,306.1,2.52
160,henties bay,NA,-22.116,14.2845,1623262965,0,79,286.96,3.79
161,kaitangata,NZ,-46.2817,169.8464,1623262965,91,81,282.0,2.65
162,edmonton,CA,53.5501,-113.4687,1623262898,40,60,292.31,3.13
163,longyearbyen,SJ,78.2186,15.6401,1623262966,90,93,275.06,1.54
164,kibungo,RW,-2.1597,30.5427,1623262967,99,64,295.66,1.29
165,talnakh,RU,69.4865,88.3972,1623262968,45,91,270.71,1.37
166,allen,US,41.0706,-85.0144,1623262726,75,68,302.64,3.33
167,puerto gaitan,CO,4.3133,-72.0816,1623262718,100,86,297.92,2.39
168,upernavik,GL,72.7868,-56.1549,1623262969,93,89,275.27,0.97
169,bairiki,KI,1.3292,172.9752,1623262970,40,78,300.15,7.53
170,shingu,JP,33.7333,135.9833,1623262970,0,70,292.54,2.54
171,ellisras,ZA,-23.6649,27.7443,1623262971,92,47,289.01,1.58
172,kavieng,PG,-2.5744,150.7967,1623262972,100,80,300.95,5.78
173,fougamou,GA,-1.2154,10.5838,1623262972,100,91,298.47,0.36
174,tucupita,VE,9.0622,-62.051,1623262973,97,89,299.67,2.71
175,turbat,PK,26.0023,63.044,1623262974,0,74,302.81,4.2
176,gharghoda,IN,22.1667,83.35,1623262974,100,74,300.41,1.98
177,alexandria,EG,31.2156,29.9553,1623262652,0,73,297.04,5.68
178,bonavista,CA,48.6499,-53.1147,1623262975,2,71,284.15,4.93
